3.920,4.297,1.939,1.800,0,0,-1,0,-0.766,0.643
3.434,4.160,1.930,1.592,0,0,-1,-0.342,0,0.939
3.737,4.297,1.939,1.800,0,0,-1,0,-1,0
3.483,4.025,1.855,1.528,0,0,-1,-1,0,0
3.371,4.029,1.799,1.461,0,0,-1,0,-1,0
3.548,4.480,2.249,1.628,0,0,-1,-0.342,0.939,0
3.549,5.186,2.824,2.005,0,0,-1,0,0.643,0.766
3.509,4.025,1.855,1.528,0,0,-1,-1,0,0
2.880,3.819,1.722,1.249,0,0,-1,0,0.342,0.939
3.449,4.160,1.930,1.592,0,0,-1,0,-1,0
3.395,4.054,1.823,1.486,0,0,-1,0,0,1
3.949,5.608,2.918,2.427,0,0,-1,0,-1,0
3.397,4.054,1.823,1.486,0,0,-1,0,1,0
3.697,4.297,1.939,1.800,0,0,-1,0,-1,0
3.449,4.160,1.930,1.592,0,0,-1,-0.342,0.939,0
3.809,5.608,2.918,2.427,0,0,-1,0,0.643,0.766
3.634,4.443,2.213,1.592,0,0,-1,-0.342,0.939,0
3.352,4.029,1.799,1.461,0,0,-1,0,1,0
3.434,4.160,1.930,1.592,0,0,-1,0,-1,0
3.731,4.297,1.939,1.800,0,0,-1,-0.985,0,0.173
3.374,4.029,1.799,1.461,0,0,-1,0,-1,0
3.505,4.025,1.855,1.528,0,0,-1,0,-1,0
2.889,3.819,1.722,1.249,0,0,-1,0,-0.342,0.939
3.349,4.029,1.799,1.461,0,0,-1,0,1,0
